ID,Name,Slug
1,Amazing Ladakh,amazing-ladakh
2,Manali Leh Manali,manali-leh-manali
3,Pangong Lake Tour 01,
4,New-Itinerary-1,new-itinerary-1
5,New-Itinerary-2,new-itinerary-2
6,New-Itinerary-3,new-itinerary-3
